stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
103,103,Gordon at Kortright southbound,Gordon Street,43.522362,-80.213442,,,,,,0
104,104,Gordon at Harts southbound,Gordon Street,43.519528,-80.207687,0,,,,,
105,105,Gordon at Landsdown southbound,Gordon Street,43.518121,-80.205662,,,,,,
106,106,Gordon at Edinburgh southbound,Gordon Street,43.516559,-80.203531,,,,,,
107,107,Edinburgh at Carrington westbound,Edinburgh Road South,43.513616,-80.206704,,,,,,
108,108,Edinburgh at Rickson westbound,Edinburgh Road South,43.511586,-80.209428,0,,,,,0
109,109,Edinburgh at Ginger northbound,Edinburgh Road South,43.511076,-80.213566,,,,,,
110,110,Edinburgh at Rodgers northbound,Edinburgh Road South,43.512602,-80.218619,,,,,,
111,111,Edinburgh at Koch northbound,Edinburgh Road South,43.516094,-80.225959,,,,,,
112,112,Edinburgh at Laurelwood northbound,Edinburgh Road South,43.517444,-80.230402,,,,,,
114,114,Stone at Scottsdale westbound,Stone Road West,43.515895,-80.239294,,,,,,
115,115,176 Janefield northbound,Janefield Avenue,43.517473,-80.244803,,,,,,
116,116,Janefield at Mason northbound,Janefield Avenue,43.51892,-80.246828,0,,,,,
117,117,College at Vanier eastbound,College Avenue West,43.522099,-80.246057,,,,,,
118,118,College at Lynnwood eastbound,College Avenue West,43.524333,-80.243006,,,,,,
119,119,College at Smith eastbound,College Avenue West,43.529659,-80.235779,,,,,,
120,120,College at MacDonald eastbound,College Avenue East,43.533559,-80.230508,0,,,,,0
121,121,East Ring at Dundas southbound,East Ring Road,43.534327,-80.223817,,,,,,0
122,122,East Ring Road at Arboretum Road southbound,,43.533251,-80.22234,,,,,,0
154,154,College at Caledonia westbound,College Avenue West,43.529779,-80.23581,,,,,,
155,155,College at Edinburgh westbound,College Avenue West,43.525008,-80.242347,,,,,,
156,156,College at Centennial westbound,College Avenue West,43.521522,-80.24709,,,,,,
157,157,165 Janefield southbound,Janefield Avenue,43.517936,-80.245638,,,,,,0
158,158,Janefield at Scottsdale eastbound,Janefield Avenue,43.516773,-80.241115,,,,,,
160,160,Stone at Stone Road Mall eastbound,Stone Road West,43.517608,-80.236658,,,,,,
162,162,Edinburgh at Ironwood southbound,Edinburgh Road South,43.516369,-80.228883,,,,,,
163,163,Edinburgh at Crowe southbound,Edinburgh Road South,43.515565,-80.223325,,,,,,0
164,164,Edinburgh at Rodgers southbound,Edinburgh Road South,43.512617,-80.218908,,,,,,
165,165,Edinburgh at Southcreek southbound,Edinburgh Road South,43.51118,-80.214575,,,,,,
166,166,Edinburgh at Rickson eastbound,Edinburgh Road South,43.5115,-80.20935,,,,,,
167,167,Edinburgh at Carrington eastbound,Edinburgh Road South,43.513537,-80.206628,,,,,,
168,168,Gordon at Edinburgh northbound,Gordon Street,43.516617,-80.203247,,,,,,
169,169,Gordon at Landsdown northbound,Gordon Street,43.518469,-80.20579,,,,,,
170,170,Gordon at Harts northbound,Gordon Street,43.519631,-80.207474,0,,,,,0
171,171,1030 Gordon northbound,1030 Gordon Street,43.520878,-80.209999,,,,,,
173,173,Gordon at Hands northbound,Gordon Street,43.524265,-80.216914,0,,,,,0
174,174,Gordon at Monticello northbound,Gordon Street,43.525791,-80.221775,0,,,,,0
203,203,Gordon at James southbound,Gordon Street,43.537291,-80.239938,,,,,,
204,204,Gordon at Dean southbound,Gordon Street,43.534074,-80.235461,,,,,,
207,207,Stone at Edinburgh westbound,Stone Road West,43.520394,-80.233332,0,,,,,
210,210,Fife at Wellington westbound,Fife Road,43.517835,-80.270269,,,,,,
211,211,Fife at Gateway westbound,Fife Road,43.515645,-80.273225,,,,,,
212,212,Fife at Deerfield westbound,Fife Road,43.513901,-80.275585,,,,,,
213,213,Elmira at West Acres northbound,Elmira Road South,43.516387,-80.278779,,,,,,
214,214,Elmira at Freshmeadow northbound,Elmira Road South,43.518933,-80.282056,,,,,,
215,215,Elmira at Stephanie northbound,Elmira Road South,43.521053,-80.287271,,,,,,
216,216,Elmira at Paisley northbound,Elmira Road South,43.52205,-80.289686,0,,,,,0
217,217,Elmira at West End Community Centre northbound,Elmira Road South,43.523051,-80.292219,0,,,,,
218,218,Willow at Flaherty eastbound,Willow Road,43.527366,-80.296851,,,,,,
219,219,Imperial at Willow northbound,Imperial Road North,43.529034,-80.292485,,,,,,
220,220,Imperial at Dunhill northbound,Imperial Road North,43.531564,-80.294132,,,,,,
221,221,Imperial at Westwood northbound,Imperial Road North,43.53511,-80.294715,,,,,,
223,223,Royal at ARC Industries northbound,Royal Road,43.540183,-80.294327,,,,,,0
224,224,Royal at Massey northbound,Royal Road,43.542772,-80.297936,,,,,,
225,225,Massey at Imperial westbound,Massey Road,43.541183,-80.301386,,,,,,
226,226,Imperial at Woodlawn northbound,Imperial Road North,43.543594,-80.305703,,,,,,
227,227,Woodlawn at Royal eastbound,Woodlawn Road West,43.545949,-80.303478,,,,,,
228,228,Woodlawn at Regal eastbound,Woodlawn Road West,43.548771,-80.299613,,,,,,
229,229,Woodlawn at Silvercreek eastbound,Woodlawn Road West,43.551744,-80.295572,,,,,,
230,230,Woodlawn at Dawson eastbound,Woodlawn Road West,43.556084,-80.289687,0,,,,,
231,231,Woodlawn at Edinburgh eastbound,Woodlawn Road West,43.55861,-80.286192,,,,,,
232,232,Woodlawn at Nicklin eastbound,Woodlawn Road West,43.56041,-80.283611,,,,,,
233,233,Woodlawn at Woolwich eastbound,Woodlawn Road West,43.56462,-80.277784,,,,,,
234,234,Woolwich at Marilyn southbound,Woolwich Street,43.562109,-80.273501,,,,,,
235,235,Woolwich at Evergreen Seniors Centre southbound,Woolwich Street,43.560044,-80.270661,,,,,,0
236,236,Woolwich at Mac southbound,Woolwich Street,43.556831,-80.266224,,,,,,
237,237,Woolwich at Tiffany southbound,Woolwich Street,43.552525,-80.260289,,,,,,
238,238,Woolwich at London southbound,Woolwich Street,43.549805,-80.256592,,,,,,
254,254,Woolwich at London northbound,Woolwich Street,43.550079,-80.256664,,,,,,
